"Ph","EC","P","K","Crop_Type","Urea","TSP","MOP","Compost","",""
"5.3","0.152","26.39","87.66","Tomato","19.5","62.17","21.67","1083.33","",""
"5.9","0.026","1.8","54.5","Tomato","19.5","127.17","21.67","1083.33","",""
"5.1","0.074","1.8","107.2","Tomato","19.5","127.17","21.67","1083.33","",""
"6.4","0.014","0.65","39","Tomato","19.5","127.17","21.67","1083.33","",""
"6.2","0.037","2.9","83","Tomato","19.5","127.17","21.67","1083.33","",""
"5.2","0.563","71.2","1557.5","Tomato","26","32.5","0","0","",""
"5.7","0.044","21.5","274","Tomato","19.5","62.17","8.67","1083.33","",""
"6.1","0.019","1.4","77.9","Tomato","19.5","127.17","21.67","1083.33","",""
"5.9","0.022","2.9","87.7","Tomato","19.5","127.17","21.67","1083.33","",""
"5.8","0.035","0.6","58.4","Tomato","19.5","127.17","21.67","1083.33","",""
"5.9","0.024","0.7","77.9","Tomato","19.5","127.17","21.67","1083.33","",""
"4.9","4.7","7.9","248.4","Tomato","19.5","127.17","8.67","1083.33","",""
"5.6","0.066","113.7","108.3","Tomato","19.5","29.67","21.67","1083.33","",""
"5.8","0.015","12.9","136.9","Tomato","19.5","127.17","21.67","1083.33","",""
"5.8","0.023","3.2","90.4","Tomato","19.5","127.17","21.67","1083.33","",""
"5.1","0.023","2.45","63.5","Tomato","19.5","127.17","21.67","1083.33","",""
"5.2","0.023","2.5","68.4","Tomato","19.5","127.17","21.67","1083.33","",""
"5.3","0.093","284.3","413.4","Tomato","26","32.5","0","0","",""
"5.7","0.029","65.9","39.1","Capsicum","30","17.15","19.33","1666.67","",""
"6.4","0.027","52.9","112.3","Capsicum","30","17.15","19.33","1666.67","",""
"6.2","0.07","171","283.2","Capsicum","30","17.15","6.33","1666.67","",""
"6.5","0.042","127.5","229.5","Capsicum","30","17.15","19.33","1666.67","",""
"5.9","0.081","169.5","504.9","Capsicum","40","21.5","0","0","",""
"5.9","0.029","8","169.9","Capsicum","30","81.65","6.33","1666.67","",""
"5.8","0.162","51.6","68","Capsicum","30","17.15","19.33","1666.67","",""
"5.6","0.156","46.5","72.8","Capsicum","30","17.15","19.33","1666.67","",""
"5.7","0.038","48.1","38.8","Capsicum","30","17.15","19.33","1666.67","",""
"5.9","0.058","183.8","160.2","Capsicum","30","17.15","6.33","1666.67","",""
"5.6","0.101","51.4","315.8","Capsicum","30","17.15","6.33","1666.67","",""
"5.1","0.029","8.3","54.3","Capsicum","30","81.65","19.33","1666.67","",""
"5","0.067","9.8","108.6","Capsicum","30","81.65","19.33","1666.67","",""
"6.14","0.06","39.2","58.2","Capsicum","30","17.15","19.33","1666.67","",""
"5.5","0.023","118.6","63.1","Capsicum","30","17.15","19.33","1666.67","",""
"4.76","0.188","279.1","258.5","Capsicum","30","17.15","6.33","1666.67","",""
"6.4","0.042","3.4","29.3","Capsicum","30","81.65","19.33","1666.67","",""
"6.5","0.102","9.5","122.2","Capsicum","30","81.65","19.33","1666.67","",""
"6.4","0.125","6.1","78.9","Capsicum","30","81.65","19.33","1666.67","",""
"6.8","0.0093","69.5","167.7","Capsicum","30","17.15","6.33","1666.67","",""
"6.8","0.114","47.1","167.7","Capsicum","30","17.15","6.33","1666.67","",""
"6.8","0.491","52.1","769.2","Capsicum","40","21.5","0","0","",""
"6","0.04","5.6","149.9","Capsicum","30","81.65","19.33","1666.67","",""
"5.8","0.081","68.1","164.4","Capsicum","30","17.15","6.33","1666.67","",""
"5.8","0.093","78.9","145","Capsicum","30","17.15","19.33","1666.67","",""
"4.7","0.08","6","241","Capsicum","30","81.65","6.33","1666.67","",""
"5.1","0.034","2","85","Capsicum","30","81.65","19.33","1666.67","",""
"5.7","0.046","23","465","Capsicum","40","43","0","0","",""
"5.9","0.034","51","465","Capsicum","40","21.5","0","0","",""
"5.7","0.123","34","1069","Capsicum","40","21.5","0","0","",""
"6","0.046","4.9","651","Capsicum","40","86","0","0","",""
"6","0.023","28","558","Capsicum","40","43","0","0","",""
"5.9","0.103","72","1440","Capsicum","30","17.15","19.33","1666.67","",""
"6.1","0.048","12","511","Capsicum","40","86","0","0","",""
"5.8","0.125","22","929","Capsicum","40","43","0","0","",""
"6.1","0.066","58","186","Capsicum","30","17.15","6.33","1666.67","",""
"5.8","0.042","29.5","139.3","Capsicum","30","38.65","19.33","1666.67","",""
"5.9","0.025","8.4","144.1","Capsicum","30","81.65","19.33","1666.67","",""
"5.7","0.064","85.9","187.4","Capsicum","30","17.15","6.33","1666.67","",""
"6","0.02","5.4","105.7","Capsicum","30","81.65","19.33","1666.67","",""
"5.8","0.03","2","235.4","Capsicum","30","81.65","6.33","1666.67","",""
"5.8","0.021","3.2","197","Capsicum","30","81.65","6.33","1666.67","",""
"6","0.029","3.3","153.7","Capsicum","30","81.65","19.33","1666.67","",""
"5.8","0.045","1.9","158.5","Capsicum","30","81.65","19.33","1666.67","",""
"5.9","0.028","1.6","211.4","Capsicum","30","81.65","6.33","1666.67","",""
"5.7","0.053","4.9","187.4","Capsicum","30","81.65","6.33","1666.67","",""
"5.6","0.034","16.2","73.2","Capsicum","30","81.65","19.33","1666.67","",""
"6.3","0.123","125.5","549.4","Capsicum","40","21.5","0","0","",""
"5.7","0.117","14.8","204.4","Capsicum","30","81.65","19.33","1666.67","",""
"5.4","0.037","9.1","221.6","Capsicum","30","81.65","6.33","1666.67","",""
"5.7","0.062","2.7","153.2","Capsicum","30","81.65","19.33","1666.67","",""
"5.7","0.062","6.7","86.2","Capsicum","30","81.65","19.33","1666.67","",""
"5.8","0.084","10.2","95.7","Capsicum","30","81.65","19.33","1666.67","",""
"5.5","0.35","195.7","493","Capsicum","40","21.5","0","0","",""
"6.5","0.14","181.1","267.2","Capsicum","30","17.15","6.33","1666.67","",""
"5.7","0.038","15.8","296.1","Capsicum","30","81.65","6.33","1666.67","",""
"5.3","0.0103","14.3","118.3","Capsicum","30","81.65","19.33","1666.67","",""
"6.2","0.168","15.1","234.7","Capsicum","30","81.65","6.33","1666.67","",""
"6.3","0.105","57.7","361.8","Capsicum","30","17.15","6.33","1666.67","",""
"5.4","0.073","3.9","171.1","Capsicum","30","81.65","6.33","1666.67","",""
"5.4","0.154","229.3","479.1","Capsicum","40","21.5","0","0","",""
"5.7","0.048","2.3","268.9","Capsicum","30","81.65","6.33","1666.67","",""
